playerStartHand,playerdraws,dealerStartHand,dealerDraws,result,player_points,dealer_points
"[6, 3]",[7],[11],"[5, 9, 9]",win,16,24
"[10, 10]",[],[10],[8],win,20,18
"[5, 6]",[10],[7],[11],win,21,18
"[6, 10]",[5],[10],[10],win,21,20
"[10, 9]",[],[10],"[3, 4]",win,19,17
"[6, 10]",[2],[8],"[8, 10]",win,18,26
"[10, 7]",[],[10],"[5, 10]",win,17,25
"[10, 7]",[],[9],[8],draw,17,17
"[8, 10]",[],[10],"[5, 3]",draw,18,18
"[10, 4]",[6],[7],"[7, 8]",win,20,22
"[9, 10]",[],[6],"[11, 3]",loss,19,20
"[4, 8]",[10],[8],[10],loss,22,18
"[8, 3]",[6],[10],[11],loss,17,21
"[8, 10]",[],[7],"[2, 10]",loss,18,19
"[10, 8]",[],[10],[9],loss,18,19
"[11, 6]",[],[6],"[2, 2, 6, 10]",win,17,26
"[6, 2]",[10],[8],"[8, 11]",win,18,17
"[6, 10]",[4],[9],[8],win,20,17
"[2, 9]",[10],[10],[10],win,21,20
"[10, 10]",[],[2],"[11, 7]",draw,20,20
"[5, 10]",[10],[10],"[4, 7]",loss,25,21
"[10, 10]",[],[8],"[8, 6]",win,20,22
"[6, 2]",[6],[10],"[5, 2]",loss,14,17
"[10, 10]",[],[7],"[9, 10]",win,20,26
"[9, 10]",[],[9],"[5, 4]",win,19,18
"[10, 6]",[],[6],"[9, 3]",loss,16,18
"[10, 10]",[],[10],[10],draw,20,20
"[5, 2]","[6, 9]",[10],[9],loss,22,19
"[10, 10]",[],[9],"[5, 5]",win,20,19
"[10, 6]",[5],[10],"[2, 2, 2, 5]",draw,21,21
"[6, 7]",[9],[2],"[10, 7]",loss,22,19
"[10, 10]",[],[10],[10],draw,20,20
"[6, 10]",[],[9],[10],loss,16,19
"[6, 8]",[],[7],[10],loss,14,17
"[5, 7]",[],[5],"[10, 10]",win,12,25
"[5, 4]",[10],[10],[10],loss,19,20
"[8, 7]","[11, 8]",[2],"[3, 2, 9, 3]",loss,24,19
"[10, 6]",[10],[8],"[3, 7]",loss,26,18
"[10, 11]",[6],[8],[9],draw,17,17
"[11, 4]","[9, 10]",[10],[10],loss,24,20
"[10, 10]",[],[7],"[9, 5]",loss,20,21
"[10, 10]",[],[10],[9],win,20,19
"[7, 10]",[],[2],"[6, 2, 6, 8]",win,17,24
"[3, 5]",[10],[7],[10],win,18,17
"[10, 5]",[],[10],[8],loss,15,18
"[8, 10]",[],[10],[10],loss,18,20
"[4, 9]",[5],[10],[7],win,18,17
"[10, 7]",[],[5],"[3, 2, 10]",loss,17,20
"[11, 6]",[10],[6],"[8, 6]",loss,17,20
"[9, 10]",[],[10],[10],loss,19,20
"[10, 10]",[],[4],"[8, 10]",win,20,22
"[10, 10]",[],[2],"[6, 4, 10]",win,20,22
"[3, 8]","[11, 10]",[7],[10],loss,22,17
"[8, 3]",[10],[10],[10],win,21,20
"[11, 2]","[2, 6]",[10],"[6, 3]",win,21,19
"[10, 10]",[],[8],"[2, 10]",draw,20,20
"[2, 10]",[10],[3],"[9, 10]",loss,22,22
"[10, 7]",[],[10],"[3, 8]",loss,17,21
"[10, 10]",[],[2],"[10, 11, 10]",win,20,23
"[10, 2]",[8],[10],[11],loss,20,21
"[10, 10]",[],[10],[10],draw,20,20
"[5, 3]","[9, 7]",[10],[10],loss,24,20
"[10, 8]",[],[10],[10],loss,18,20
"[7, 6]",[10],[10],[7],loss,23,17
"[8, 10]",[],[11],[7],draw,18,18
"[11, 10]",[],[10],"[4, 2, 10]",win,21,26
"[9, 10]",[],[11],"[5, 4]",loss,19,20
"[4, 8]",[9],[10],[10],win,21,20
"[11, 10]",[],[5],"[3, 10]",win,21,18
"[2, 3]","[10, 4]",[8],"[7, 6]",loss,19,21
"[9, 3]",[10],[10],[7],loss,22,17
"[10, 5]",[4],[10],[10],loss,19,20
"[11, 10]",[],[9],[10],win,21,19
"[4, 10]",[10],[10],[10],loss,24,20
"[10, 5]",[4],[10],[10],loss,19,20
"[5, 6]","[5, 8]",[10],[10],loss,24,20
"[10, 4]",[10],[6],"[4, 10]",loss,24,20
"[2, 7]",[10],[3],"[8, 8]",draw,19,19
"[10, 6]",[5],[3],"[9, 10]",win,21,22
"[10, 4]",[10],[5],"[9, 10]",loss,24,24
"[6, 10]",[5],[4],"[3, 10]",win,21,17
"[8, 10]",[],[9],"[7, 10]",win,18,26
"[10, 11]",[],[5],"[10, 11, 10]",win,21,26
"[6, 10]",[10],[8],[11],loss,26,19
"[10, 9]",[],[7],[10],win,19,17
"[9, 7]",[],[10],[10],loss,16,20
"[9, 9]",[],[3],"[10, 3, 10]",win,18,26
"[7, 6]",[4],[9],[10],loss,17,19
"[10, 11]",[],[6],"[6, 8]",win,21,20
"[10, 6]",[11],[6],"[7, 10]",win,17,23
"[5, 10]",[10],[7],"[2, 10]",loss,25,19
"[10, 10]",[],[10],[11],loss,20,21
"[7, 10]",[5],[4],"[11, 10, 3]",loss,22,18
"[2, 11]","[10, 9]",[10],"[3, 8]",loss,22,21
"[10, 11]",[],[10],[10],win,21,20
"[3, 5]",[10],[2],"[6, 10]",draw,18,18
"[10, 7]",[],[10],[10],loss,17,20
"[8, 6]","[2, 4]",[9],[8],win,20,17
"[5, 7]","[2, 8]",[10],[11],loss,22,21
"[11, 10]",[],[2],"[6, 10]",win,21,18
