playerStartHand,playerdraws,dealerStartHand,dealerDraws,result,player_points,dealer_points
"[10, 3]","[2, 2]",[7],"[7, 10]",win,17,24
"[8, 10]",[],[5],"[3, 8, 4]",loss,18,20
"[10, 7]",[],[10],[10],loss,17,20
"[2, 6]","[5, 10]",[7],[11],loss,23,18
"[10, 7]",[],[10],[10],loss,17,20
"[10, 10]",[],[10],[11],loss,20,21
"[10, 9]",[],[4],"[2, 10, 11]",win,19,17
"[3, 10]",[8],[6],"[5, 5, 7]",win,21,23
"[7, 10]",[],[10],[11],loss,17,21
"[9, 2]",[10],[10],[9],win,21,19
"[10, 10]",[],[10],"[3, 9]",win,20,22
"[10, 9]",[],[10],[7],win,19,17
"[3, 10]","[3, 4]",[2],"[10, 9]",loss,20,21
"[8, 10]",[],[7],[10],win,18,17
"[7, 10]",[],[10],"[3, 10]",win,17,23
"[10, 10]",[],[11],[8],win,20,19
"[11, 2]","[10, 3, 6]",[3],"[4, 5, 10]",loss,22,22
"[5, 4]",[10],[11],"[6, 2]",draw,19,19
"[3, 10]",[10],[9],"[5, 8]",loss,23,22
"[6, 10]",[10],[7],[10],loss,26,17
"[7, 9]",[2],[2],"[8, 8]",draw,18,18
"[11, 10]",[],[10],[8],win,21,18
"[6, 7]",[5],[10],[10],loss,18,20
"[2, 7]",[8],[10],"[6, 10]",win,17,26
"[6, 6]",[6],[5],"[5, 3, 8]",loss,18,21
"[11, 5]","[10, 10]",[5],"[9, 10]",loss,26,24
"[4, 10]","[2, 4]",[2],"[10, 2, 10]",win,20,24
"[10, 7]",[],[11],[10],loss,17,21
"[10, 5]",[9],[3],"[10, 2, 10]",loss,24,25
"[10, 11]",[],[10],[10],win,21,20
"[10, 7]",[],[5],"[5, 4, 9]",win,17,23
"[6, 10]",[10],[8],"[2, 10]",loss,26,20
"[8, 2]",[6],[10],"[6, 5]",loss,16,21
"[10, 10]",[],[9],[10],win,20,19
"[10, 10]",[],[9],"[6, 10]",win,20,25
"[2, 3]","[10, 10]",[10],[8],loss,25,18
"[10, 7]",[8],[2],"[10, 10]",loss,25,22
"[10, 9]",[],[10],[11],loss,19,21
"[6, 2]","[8, 10]",[10],[8],loss,26,18
"[5, 9]","[11, 6]",[10],[10],win,21,20
"[10, 10]",[],[10],[10],draw,20,20
"[2, 10]",[7],[10],[9],draw,19,19
"[4, 10]",[5],[10],[11],loss,19,21
"[10, 10]",[],[11],[8],win,20,19
"[4, 8]",[10],[10],[9],loss,22,19
"[10, 6]",[10],[5],"[10, 10]",loss,26,25
"[7, 6]",[4],[6],"[11, 5, 4, 10]",win,17,26
"[3, 11]","[10, 10]",[7],"[2, 10]",loss,24,19
"[5, 10]",[7],[10],[10],loss,22,20
"[10, 2]",[5],[4],"[5, 11]",loss,17,20
"[10, 5]",[10],[6],"[10, 10]",loss,25,26
"[9, 7]",[10],[9],"[2, 10]",loss,26,21
"[5, 4]","[5, 11]",[11],[10],loss,15,21
"[11, 2]","[10, 8]",[10],[11],draw,21,21
"[7, 4]",[5],[10],"[3, 8]",loss,16,21
"[9, 10]",[],[5],"[3, 7, 8]",win,19,23
"[8, 5]","[11, 5]",[10],[10],loss,19,20
"[10, 10]",[],[11],[8],win,20,19
"[8, 9]",[],[10],[10],loss,17,20
"[2, 10]",[8],[7],"[3, 2, 11, 10]",win,20,23
"[8, 2]","[5, 6]",[10],[11],draw,21,21
"[6, 7]",[10],[10],"[5, 10]",loss,23,25
"[10, 5]",[7],[4],"[3, 10]",loss,22,17
"[10, 5]",[3],[7],"[2, 10]",loss,18,19
"[10, 5]",[7],[3],"[10, 4]",loss,22,17
"[6, 8]",[7],[11],"[4, 7, 10]",win,21,22
"[7, 10]",[10],[7],[10],loss,27,17
"[9, 5]",[3],[7],"[8, 11, 10]",win,17,26
"[3, 10]",[4],[10],[10],loss,17,20
"[10, 6]",[10],[11],[10],loss,26,21
"[9, 8]",[10],[10],[8],loss,27,18
"[10, 4]",[10],[4],"[10, 5]",loss,24,19
"[10, 4]",[4],[6],"[7, 9]",win,18,22
"[10, 10]",[],[10],[7],win,20,17
"[4, 10]",[7],[10],"[3, 2, 5]",win,21,20
"[8, 8]",[],[9],"[6, 5]",loss,16,20
"[10, 8]",[],[10],[10],loss,18,20
"[7, 7]",[8],[2],"[10, 10]",loss,22,22
"[10, 7]",[],[10],"[3, 10]",win,17,23
"[10, 3]",[6],[4],"[9, 11, 5]",draw,19,19
"[2, 4]","[2, 7, 10]",[10],[10],loss,25,20
"[3, 2]","[5, 6, 8]",[4],"[10, 10]",loss,24,24
"[10, 10]",[],[4],"[4, 9]",win,20,17
"[6, 10]",[4],[2],"[10, 10]",win,20,22
"[8, 3]",[9],[10],[10],draw,20,20
"[10, 7]",[],[10],"[4, 5]",loss,17,19
"[6, 5]","[11, 3, 10]",[10],[9],loss,25,19
"[8, 10]",[],[4],"[10, 10]",win,18,24
"[11, 2]","[3, 9, 6]",[2],"[10, 6]",win,21,18
"[10, 8]",[],[4],"[10, 4]",draw,18,18
"[10, 2]",[6],[10],"[6, 8]",win,18,24
"[7, 10]",[],[5],"[10, 2]",draw,17,17
"[10, 6]",[],[9],[10],loss,16,19
"[6, 5]",[7],[10],[10],loss,18,20
"[7, 10]",[10],[7],[10],loss,27,17
"[10, 5]",[4],[4],"[10, 4]",win,19,18
"[7, 4]",[10],[7],[11],win,21,18
"[7, 3]",[10],[2],"[3, 9, 7]",loss,20,21
"[8, 10]",[],[11],[7],draw,18,18
"[10, 11]",[],[10],"[3, 8]",draw,21,21
