playerStartHand,playerdraws,dealerStartHand,dealerDraws,result,player_points,dealer_points
"[3, 10]",[9],[4],"[7, 10]",loss,22,21
"[10, 10]",[],[10],[11],loss,20,21
"[10, 11]",[],[2],"[5, 10]",win,21,17
"[10, 10]",[],[10],"[6, 2]",win,20,18
"[3, 3]",[7],[5],"[10, 10]",win,13,25
"[10, 10]",[],[10],"[2, 4, 10]",win,20,26
"[10, 5]",[6],[4],"[10, 10]",win,21,24
"[10, 9]",[],[2],"[4, 10, 10]",win,19,26
"[2, 6]",[8],[7],"[8, 9]",win,16,24
"[8, 3]","[4, 6]",[10],[10],win,21,20
"[2, 10]","[11, 7]",[8],"[6, 10]",win,20,24
"[8, 11]",[],[7],"[4, 10]",loss,19,21
"[4, 10]",[10],[8],[10],loss,24,18
"[10, 5]",[6],[10],[10],win,21,20
"[7, 8]",[3],[3],"[10, 3, 11]",win,18,17
"[9, 10]",[],[2],"[8, 11]",loss,19,21
"[9, 2]",[10],[10],[10],win,21,20
"[2, 3]","[2, 10]",[10],[9],loss,17,19
"[10, 10]",[],[7],"[5, 5]",win,20,17
"[10, 2]",[7],[8],"[2, 8]",win,19,18
"[4, 10]",[6],[2],"[8, 10]",draw,20,20
"[2, 9]",[10],[9],[8],win,21,17
"[4, 6]",[10],[10],[7],win,20,17
"[2, 3]",[9],[5],"[7, 10]",win,14,22
"[10, 9]",[],[8],[10],win,19,18
"[3, 7]",[8],[7],"[7, 3]",win,18,17
"[4, 2]",[10],[4],"[10, 5]",loss,16,19
"[9, 6]",[9],[7],[10],loss,24,17
"[10, 5]",[10],[7],[11],loss,25,18
"[3, 10]",[10],[10],[10],loss,23,20
"[5, 4]",[10],[8],"[7, 10]",win,19,25
"[10, 5]",[6],[5],"[3, 8, 11]",win,21,17
"[7, 8]",[],[10],[10],loss,15,20
"[9, 10]",[],[3],"[11, 6]",loss,19,20
"[10, 10]",[],[10],"[2, 8]",draw,20,20
"[10, 2]","[5, 6]",[11],[10],loss,23,21
"[10, 7]",[],[10],[11],loss,17,21
"[10, 10]",[],[10],"[5, 10]",win,20,25
"[10, 10]",[],[11],"[5, 6, 10]",win,20,22
"[10, 10]",[],[10],"[2, 10]",win,20,22
"[6, 10]",[3],[10],"[2, 8]",loss,19,20
"[10, 10]",[],[10],"[3, 3, 3]",win,20,19
"[7, 3]","[3, 10]",[10],[8],loss,23,18
"[2, 10]",[],[10],"[6, 7]",win,12,23
"[2, 8]",[],[10],[10],loss,10,20
"[8, 5]",[10],[9],[9],loss,23,18
"[10, 4]",[],[11],[9],loss,14,20
"[6, 10]",[10],[8],[10],loss,26,18
"[5, 4]",[],[4],"[8, 10]",win,9,22
"[7, 7]",[10],[2],"[3, 10, 10]",loss,24,25
"[10, 2]",[10],[10],[10],loss,22,20
"[10, 4]",[3],[7],"[7, 6]",loss,17,20
"[6, 10]",[],[10],[10],loss,16,20
"[10, 2]",[7],[9],[11],loss,19,20
"[3, 4]","[10, 11]",[4],"[4, 5, 10]",win,18,23
"[10, 6]",[10],[8],"[3, 6]",loss,26,17
"[10, 10]",[3],[4],"[11, 2, 10]",loss,23,17
"[9, 3]",[4],[10],[10],loss,16,20
"[10, 11]",[],[4],"[10, 7]",draw,21,21
"[4, 8]",[6],[10],"[2, 3, 10]",win,18,25
"[2, 5]","[3, 11]",[10],"[3, 10]",win,21,23
"[5, 11]",[2],[9],[9],draw,18,18
"[7, 10]",[],[10],[11],loss,17,21
"[7, 10]",[],[10],[10],loss,17,20
"[4, 3]",[10],[4],"[10, 10]",win,17,24
"[10, 10]",[],[9],[10],win,20,19
"[3, 10]",[4],[5],"[11, 5]",loss,17,21
"[10, 4]",[11],[6],"[4, 11]",loss,15,21
"[11, 4]",[2],[10],[8],loss,17,18
"[2, 10]",[4],[10],[10],loss,16,20
"[5, 8]",[10],[5],"[10, 4]",loss,23,19
"[7, 8]",[5],[5],"[3, 2, 4, 6]",draw,20,20
"[10, 10]",[],[6],"[10, 10]",win,20,26
"[8, 8]",[],[10],[10],loss,16,20
"[9, 10]",[],[2],"[3, 4, 5, 10]",win,19,24
"[10, 2]",[11],[3],"[3, 4, 10]",loss,13,20
"[10, 5]",[3],[10],[9],loss,18,19
"[8, 10]",[],[8],"[6, 7]",loss,18,21
"[6, 11]",[],[3],"[11, 5]",loss,17,19
"[2, 10]",[11],[8],"[8, 11]",loss,13,17
"[10, 10]",[],[11],[10],loss,20,21
"[10, 9]",[],[10],"[4, 5]",draw,19,19
"[3, 10]",[5],[10],[10],loss,18,20
"[10, 10]",[],[10],"[4, 8]",win,20,22
"[3, 8]",[10],[10],[8],win,21,18
"[10, 10]",[],[10],[7],win,20,17
"[10, 10]",[],[9],[10],win,20,19
"[6, 7]",[5],[10],"[2, 2, 10]",win,18,24
"[10, 8]",[],[11],"[11, 10, 10]",win,18,22
"[5, 9]",[8],[7],"[4, 10]",loss,22,21
"[10, 6]",[],[10],"[2, 4, 9]",win,16,25
"[2, 9]",[10],[10],"[3, 7]",win,21,20
"[10, 5]",[],[5],"[10, 3]",loss,15,18
"[2, 11]",[8],[8],"[4, 10]",win,21,22
"[8, 2]",[11],[10],[11],draw,21,21
"[7, 11]",[10],[3],"[10, 3, 10]",win,18,26
"[7, 10]",[],[10],[9],loss,17,19
"[8, 11]",[],[9],[10],draw,19,19
"[9, 10]",[],[7],"[8, 10]",win,19,25
"[2, 2]","[6, 10]",[5],"[7, 10]",win,20,22
